Origin (UTC)	Country	Lat	Long	Depth (km)	Magnitude	PDE Shaking Deaths	PDE Total Deaths	Utsu Total Deaths	EM-DAT Total Deaths	Other Source Deaths
1975-09-06 09:20 	Turkey   	38.515	40.768	39.6	6.7 Ms 	2311	2311	2370	2385	
1999-09-20 17:47 	Taiwan   	23.819	120.877	21	7.6 Mw 	2297	2297	2413	2264	2489
2003-05-21 18:44 	Algeria   	36.88	3.694	12	6.8 Mw 	2266	2266		2266	
1968-09-01 07:27 	Iran   	34.072	58.212	8.8	6.3 Ms 	2000	2000	900	10000	
1991-10-19 21:23 	India   	30.725	78.775	9.3	6.8 Mw 	2000	2000	2000	1500	
1995-05-27 13:03 	Russian Federation   	52.604	142.823	11	7.0 Mw 	1989	1989	1989	1989	
1990-07-16 07:26 	Philippines   	15.721	121.18	24.3	7.7 Mw 	1621	1621	2430	2412	
1997-05-10 07:57 	Iran   	33.848	59.81	12.6	7.2 Mw 	1572	1572	1572	1568	
1981-07-28 17:22 	Iran 	29.976	57.767	13.6	7.2 Mw 	1500	1500	1500	1200	
1983-10-30 04:12 	Turkey   	40.327	42.176	15	6.6 Mw 	1342	1342	1400	1346	
2005-03-28 16:09 	Indonesia   	2.069	97.097	22	8.6 Mw 	1303	1313		915	
1999-01-25 18:19 	Colombia   	4.444	-75.659	17	6.1 Mw 	1185	1885	1900	1186	
1997-02-28 12:57 	Iran   	38.108	48.069	9.7	6.1 Mw 	1100	1100	1100	1100	
1970-03-28 21:02 	Turkey   	39.172	29.55	24.2	7.4 Muk 	1086	1086	1086	1086	
1971-05-22 16:44 	Turkey   	38.868	40.542	3.6	6.7 Ms 	1000	1000	995	878	
1987-03-06 04:10 	Ecuador 	0.082	-77.787	17.1	7.1 Mw 	1000	5000	5000		
2002-03-25 14:56 	Afghanistan   	36.051	69.21	10.5	6.1 Mw 	1000	1000	1000	1000	
1988-08-20 23:09 	Nepal   	26.763	86.618	57	6.8 Mw 	998	998	1450	709	
1986-10-10 17:49 	El Salvador   	13.791	-89.165	10.9	7.3 Mw 	950	1000	1500	1100	
1976-05-06 20:00 	Italy   	46.385	13.266	20.7	6.5 Mw 	900	900	965	922	
1999-11-12 16:57 	Turkey   	40.803	31.219	12.8	7.2 Mw 	894	894	894	845	
1988-11-06 13:03 	China 	22.909	99.681	6.5	7.0 Mw 	730	730	748		
2004-02-24 02:27 	Morocco   	35.184	-3.985	8	6.3 Mw 	631	631		628	
2005-02-22 02:25 	Iran   	30.691	56.794	7	6.4 Mw 	612	612		612	
1973-08-28 09:50 	Mexico   	18.233	-96.608	80.6	7.2 Muk 	600	600	600	500	
1979-12-12 07:59 	Colombia 	1.603	-79.363	23.6	8.1 Mw 	600	600	600	300	
1977-12-19 23:34 	Iran 	30.911	56.413	11.6	5.9 Mw 	584	584	665	589	
1976-07-14 07:13 	Indonesia 	-8.228	114.774	24.8	6.5 Mw 	563	563	563	573	
1992-10-12 13:09 	Egypt   	29.714	31.144	22	5.8 Mw 	552	552	552	552	
2007-08-15 23:40 	Peru   	-13.38	-76.61	39	8.0 Mw 	514	514		519	
1992-03-13 17:18 	Turkey   	39.727	39.651	7	6.6 Mw 	498		652	653	
1982-12-16 00:40 	Afghanistan 	36.136	68.933	35.5	6.4 Mw 	450	450	500	500	
1983-12-22 04:11 	Guinea 	11.862	-13.511	7.8	6.3 Mw 	443	643	643	275	
1976-06-25 19:18 	Indonesia   	-4.531	140.109	15	7.1 Mw 	422	7422	6000	420	
1977-04-06 13:36 	Iran 	31.954	50.643	9.4	6.0 Mw 	348	348	366	352	
1996-02-03 11:14 	China   	27.271	100.262	12.2	6.6 Mw 	322	322	309	309	
2001-02-13 14:22 	El Salvador   	13.6	-89.001	11	6.6 Mw 	315	315	315	315	
1981-01-19 15:11 	Indonesia   	-4.513	139.283	20	6.6 Mw 	305	1305	1300		
1980-10-24 14:53 	Mexico   	18.175	-98.235	64.3	7.1 Mw 	300	300	65	65	
1983-03-31 13:12 	Colombia   	2.439	-76.659	30.1	5.6 Mw 	300	300	241	250	
1994-06-06 20:47 	Colombia   	2.908	-75.971	12	6.8 Mw 	295	795	800		
1979-11-14 02:21 	Iran 	33.956	59.726	9.1	6.5 Mw 	280	280	280	350	
2001-01-13 17:33 	El Salvador   	13.076	-88.702	38	7.6 Mw 	267	852	852	844	
2002-06-22 02:58 	Iran 	35.597	49.02	11	6.5 Mw 	261	261	227	227	
2003-02-24 02:03 	China   	39.515	77.204	14	6.3 Mw 	261	261		268	
1981-09-12 07:15 	Pakistan 	35.685	73.597	14.7	6.1 Mw 	220	220	229	250	
1979-01-16 09:50 	Iran 	33.909	59.471	9.9	6.5 Mw 	200	200	200		
1993-07-12 13:17 	Japan   	42.892	139.247	17	7.7 Mw 	200	243	230	239	
1980-07-29 14:58 	Nepal 	29.623	81.103	14.4	6.5 Mw 	188	188	100	100	
1985-03-03 22:47 	Chile   	-33.132	-71.762	40	7.9 Mw 	177	177	177	180	
2003-05-01 00:27 	Turkey   	38.97	40.458	14	6.3 Mw 	177	177		177	
1970-07-30 00:52 	Iran 	37.836	55.887	10.9	6.6 Ms 	176	176	220	176	
1977-03-21 21:18 	Iran 	27.583	56.363	12	6.7 Mw 	167	167	167	167	
1994-08-18 01:13 	Algeria 	35.464	-0.084	9	5.8 Mw 	159	159	159	171	
1979-04-15 06:19 	Montenegro   	41.999	19.156	15	6.9 Mw 	156	156	129	121	
1981-01-23 21:13 	China   	30.956	101.168	10.9	6.5 Mw 	150	150	126	150	
1998-06-27 13:55 	Turkey   	36.903	35.325	16	6.3 Mw 	145	145	145		
1999-09-07 11:56 	Greece   	38.119	23.598	10	6.0 Mw 	143	143	143	143	
1969-10-01 05:05 	Peru 	-11.835	-75.195	6.5	6.2 Ms 	136	136	136	150	
1990-05-30 02:34 	Peru 	-6.022	-77.197	24	6.5 Mw 	135	135	135		
1976-10-29 02:51 	Indonesia 	-4.475	139.991	15	6.8 Mw 	133	133	6000		
1990-04-26 09:37 	China 	36.059	100.278	9.3	6.4 Mw 	126	126			
1991-04-29 09:12 	Georgia   	42.426	43.667	13.4	7.0 Mw 	114	184	184	270	
1996-02-17 05:59 	Indonesia   	-0.918	136.973	35.8	8.2 Mw 	108	166	166	166	
1998-05-22 04:48 	Bolivia 	-17.783	-65.401	24	6.6 Mw 	105	105	105	95	
1983-05-26 02:59 	Japan 	40.473	139.091	17	7.7 Mw 	104	107	104	102	
2000-06-04 16:28 	Indonesia 	-4.76	102.031	33.8	7.9 Mw 	103	103	103	103	
