,Unnamed: 0,Origin (UTC),Country,Lat,Long,Depth (km),Magnitude,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,MaxDeaths
47,47,24-02-04 02:27,Morocco   ,35.184,-3.985,8,6.3 Mw ,631.0,631.0,,628.0,,631.0
48,48,22-02-05 02:25,Iran   ,30.691,56.794,7,6.4 Mw ,612.0,612.0,,612.0,,612.0
49,49,28-08-73 09:50,Mexico   ,18.233,-96.608,80.6,7.2 Muk ,600.0,600.0,600.0,500.0,,600.0
50,50,12-12-79 07:59,Colombia ,1.603,-79.363,23.6,8.1 Mw ,600.0,600.0,600.0,300.0,,600.0
51,51,19-12-77 23:34,Iran ,30.911,56.413,11.6,5.9 Mw ,584.0,584.0,665.0,589.0,,665.0
52,52,14-07-76 07:13,Indonesia ,-8.228,114.774,24.8,6.5 Mw ,563.0,563.0,563.0,573.0,,573.0
53,53,12-10-92 13:09,Egypt   ,29.714,31.144,22,5.8 Mw ,552.0,552.0,552.0,552.0,,552.0
54,54,15-08-07 23:40,Peru   ,-13.38,-76.61,39,8.0 Mw ,514.0,514.0,,519.0,,519.0
55,55,13-03-92 17:18,Turkey   ,39.727,39.651,7,6.6 Mw ,498.0,,652.0,653.0,,653.0
56,56,16-12-82 00:40,Afghanistan ,36.136,68.933,35.5,6.4 Mw ,450.0,450.0,500.0,500.0,,500.0
57,57,22-12-83 04:11,Guinea ,11.862,-13.511,7.8,6.3 Mw ,443.0,643.0,643.0,275.0,,643.0
58,58,25-06-76 19:18,Indonesia   ,-4.531,140.109,15,7.1 Mw ,422.0,7422.0,6000.0,420.0,,7422.0
59,59,06-04-77 13:36,Iran ,31.954,50.643,9.4,6.0 Mw ,348.0,348.0,366.0,352.0,,366.0
60,60,03-02-96 11:14,China   ,27.271,100.262,12.2,6.6 Mw ,322.0,322.0,309.0,309.0,,322.0
61,61,13-02-01 14:22,El Salvador   ,13.6,-89.001,11,6.6 Mw ,315.0,315.0,315.0,315.0,,315.0
62,62,19-01-81 15:11,Indonesia   ,-4.513,139.283,20,6.6 Mw ,305.0,1305.0,1300.0,,,1305.0
63,63,24-10-80 14:53,Mexico   ,18.175,-98.235,64.3,7.1 Mw ,300.0,300.0,65.0,65.0,,300.0
64,64,31-03-83 13:12,Colombia   ,2.439,-76.659,30.1,5.6 Mw ,300.0,300.0,241.0,250.0,,300.0
65,65,06-06-94 20:47,Colombia   ,2.908,-75.971,12,6.8 Mw ,295.0,795.0,800.0,,,800.0
66,66,14-11-79 02:21,Iran ,33.956,59.726,9.1,6.5 Mw ,280.0,280.0,280.0,350.0,,350.0
67,67,13-01-01 17:33,El Salvador   ,13.076,-88.702,38,7.6 Mw ,267.0,852.0,852.0,844.0,,852.0
68,68,22-06-02 02:58,Iran ,35.597,49.02,11,6.5 Mw ,261.0,261.0,227.0,227.0,,261.0
69,69,24-02-03 02:03,China   ,39.515,77.204,14,6.3 Mw ,261.0,261.0,,268.0,,268.0
70,70,12-09-81 07:15,Pakistan ,35.685,73.597,14.7,6.1 Mw ,220.0,220.0,229.0,250.0,,250.0
71,71,16-01-79 09:50,Iran ,33.909,59.471,9.9,6.5 Mw ,200.0,200.0,200.0,,,200.0
72,72,12-07-93 13:17,Japan   ,42.892,139.247,17,7.7 Mw ,200.0,243.0,230.0,239.0,,243.0
